type,time,exchange,competitor,odds,backer,layer,stake
Trade,21.910431623458862,0,4,1.1,10,57,15
Trade,22.012771129608154,0,4,1.1,11,56,15
Trade,22.153408527374268,0,4,1.1,19,55,15
Trade,22.25325107574463,0,4,1.1,13,58,15
Trade,22.366583108901978,0,4,1.1,15,59,15
Trade,22.511699438095093,0,4,1.1,14,56,15
Trade,22.57851505279541,0,4,1.1,16,57,15
Trade,22.647825002670288,0,4,1.1,12,55,15
Trade,22.88938307762146,0,4,1.1,18,58,15
Trade,22.993713855743408,0,4,1.1,17,56,15
Trade,23.044683933258057,0,4,1.1,10,57,15
Trade,23.15554189682007,0,4,1.1,11,59,15
Trade,23.20878839492798,0,4,1.1,19,55,15
Trade,23.49317693710327,0,4,1.1,39,58,15
Trade,23.502346515655518,0,4,1.1,38,56,15
Trade,23.52081608772278,0,4,1.1,32,57,15
Trade,23.614184141159058,0,4,1.1,35,59,15
Trade,23.629295825958252,0,4,1.1,30,55,15
Trade,24.890761375427246,0,4,1.1,37,58,15
Trade,25.0772705078125,0,4,1.1,33,57,15
Trade,25.08722686767578,0,4,1.1,36,56,15
Trade,25.25253701210022,0,4,1.1,31,59,15
Trade,25.334306240081787,0,4,1.1,34,55,15
Trade,25.601126670837402,0,4,1.1,13,58,15
Trade,25.676939249038696,0,4,1.1,15,57,15
Trade,25.74213171005249,0,4,1.1,14,56,15
Trade,25.943846464157104,0,4,1.1,16,55,15
Trade,26.001829862594604,0,4,1.1,12,59,15
Trade,26.21458387374878,0,4,1.1,18,57,15
Trade,26.25695300102234,0,4,1.1,17,58,15
Trade,26.506430864334106,0,4,1.1,10,56,15
Trade,26.552796125411987,0,4,1.1,11,55,15
Trade,26.68811798095703,0,4,1.1,19,57,15
Trade,26.70954942703247,0,4,1.1,13,59,15
Trade,26.86191177368164,0,4,1.1,15,58,15
Trade,27.28750729560852,0,4,1.1,14,56,15
Trade,27.35952377319336,0,4,1.1,16,57,15
Trade,27.458521842956543,0,4,1.1,12,59,15
Trade,27.49560523033142,0,4,1.1,18,55,15
Trade,27.680947065353394,0,4,1.1,17,58,15
Trade,27.90249466896057,0,4,1.1,10,56,15
Trade,28.005625247955322,0,4,1.1,11,57,15
Trade,28.065386295318604,0,4,1.1,19,55,15
Trade,28.134445190429688,0,4,1.1,13,59,15
Trade,28.216603994369507,0,4,1.1,15,58,15
Trade,29.970235586166382,0,4,1.1,14,56,15
Trade,30.0454683303833,0,4,1.1,16,59,15
Trade,30.05026078224182,0,4,1.1,12,58,15
Trade,30.115180730819702,0,4,1.1,18,55,15
Trade,30.12930989265442,0,4,1.1,17,57,15
Trade,30.57816982269287,0,4,1.1,11,59,15
Trade,30.630940437316895,0,4,1.1,19,56,15
Trade,30.634342670440674,0,4,1.1,15,57,15
Trade,30.851420402526855,0,4,1.1,10,55,15
Trade,30.901074647903442,0,4,1.1,13,58,15
Trade,31.45272159576416,0,4,1.1,14,56,15
Trade,31.509502172470093,0,4,1.1,12,59,15
Trade,31.67851161956787,0,4,1.1,16,58,15
Trade,31.70503854751587,0,4,1.1,18,57,15
Trade,31.77938437461853,0,4,1.1,17,55,15
Trade,32.43622183799744,0,4,1.1,11,56,15
